Paper,Coder
192,A = gentamicin_Enterococcus_Gentamycin; B = ciprofloxacin_Enterococcus_Ciprofloxacin; C = vancomycin_Enterococcus_Vancomycin; D = teicoplanin_Enterococcus_Teicoplanin; E = gentamicin_S.aureus_Gentamycin; F = oxacillin_S.aureus_Oxacillin; G = ciprofloxacin_S.aureus_Ciprofloxacin; H = erythromycin_S.aureus_Erythromycin; I = clindamycin_S.aureus_Clindamycin; J = cefazolin_CoNS_Cefazolin; K = gentamicin_CoNS_Gentamycin; L = oxacillin_CoNS_Oxacillin; M = ciprofloxacin_CoNS_Ciprofloxacin; N = erythromycin_CoNS_Erythromycin; O = clindamycin_CoNS_Clindamycin; P = penicillin_Streptococcus_Penicillin G; Q = cefazolin_Streptococcus_Cefazolin; R = gentamicin_Streptococcus_Gentamycin; S = ciprofloxacin_Streptococcus_Ciprofloxacin; T = erythromycin_Streptococcus_Erythromycin; U = vancomycin_Streptococcus_Vancomycin; V = teicoplanin_Streptococcus_Teicoplanin; W = cephalosporin_Pseudomonas_Ceftriazone/cefotaxime; X = ceftazidime_Pseudomonas_Ceftazidime; Y = cefoperazone and beta-lactamase inhibitor_Pseudomonas_Cefoperazone-Sublactam; Z = piperacillin and beta-lactamase inhibitor_Pseudomonas_Piperacillin-Tazobactam; AA = amikacin_Pseudomonas_Amikacin; AB = gentamicin_Pseudomonas_Gentamycin; AC = netilmicin_Pseudomonas_Netilmicin; AD = tobramycin_Pseudomonas_Tobramycin; AE = ciprofloxacin_Pseudomonas_Ciprofloxacin; AF = imipenem and cilastatin_Pseudomonas_Imipenem; AG = meropenem_Pseudomonas_Meropenem; AH = cefepime_Pseudomonas_Cefepime; AI = colistin_Pseudomonas_Colistin; AJ = polymyxin B_Pseudomonas_Polymixin; AK = cephalosporin_E.coli_Ceftriazone/cefotaxime; AL = ceftazidime_E.coli_Ceftazidime; AM = cefoperazone and beta-lactamase inhibitor_E.coli_Cefoperazone-Sublactam; AN = piperacillin and beta-lactamase inhibitor_E.coli_Piperacillin-Tazobactam; AO = amikacin_E.coli_Amikacin; AP = gentamicin_E.coli_Gentamycin; AQ = netilmicin_E.coli_Netilmicin; AR = ciprofloxacin_E.coli_Ciprofloxacin; AS = imipenem and cilastatin_E.coli_Imipenem; AT = meropenem_E.coli_Meropenem; AU = cefepime_E.coli_Cefepime; AV = cephalosporin_Klebsiella_Ceftriazone/cefotaxime; AW = ceftazidime_Klebsiella_Ceftazidime; AX = cefoperazone and beta-lactamase inhibitor_Klebsiella_Cefoperazone-Sublactam; AY = piperacillin and beta-lactamase inhibitor_Klebsiella_Piperacillin-Tazobactam; AZ = amikacin_Klebsiella_Amikacin; BA = gentamicin_Klebsiella_Gentamycin; BB = netilmicin_Klebsiella_Netilmicin; BC = ciprofloxacin_Klebsiella_Ciprofloxacin; BD = cefepime_Klebsiella_Cefepime; BE = cephalosporin_Acinetobacter_Ceftriazone/cefotaxime; BF = ceftazidime_Acinetobacter_Ceftazidime; BG = cefoperazone and beta-lactamase inhibitor_Acinetobacter_Cefoperazone-Sublactam; BH = piperacillin and beta-lactamase inhibitor_Acinetobacter_Piperacillin-Tazobactam; BI = amikacin_Acinetobacter_Amikacin; BJ = gentamicin_Acinetobacter_Gentamycin; BK = netilmicin_Acinetobacter_Netilmicin; BL = tobramycin_Acinetobacter_Tobramycin; BM = ciprofloxacin_Acinetobacter_Ciprofloxacin; BN = imipenem and cilastatin_Acinetobacter_Imipenem; BO = meropenem_Acinetobacter_Meropenem; BP = cefepime_Acinetobacter_Cefepime; BQ = colistin_Acinetobacter_Colistin; BR = polymyxin B_Acinetobacter_Polymixin
193,A = metronidazole_H.pylori_1990-1995; B = metronidazole_H.pylori_1996-1999; C = metronidazole_H.pylori_2007-2009; D = erythromycin_H.pylori_1990-1995; E = clarithromycin_H.pylori_1996-1999; F = clarithromycin_H.pylori_2007-2009; G = amoxicillin_H.pylori_1996-1999; H = amoxicillin_H.pylori_2007-2009; I = tetracycline_H.pylori_1990-1995; J = tetracycline_H.pylori_1996-1999; K = tetracycline_H.pylori_2007-2009; L = ofloxacin_H.pylori_1990-1995; M = ciprofloxacin_H.pylori_1996-1999; N = ciprofloxacin_H.pylori_2007-2009
194,A = isoniazid_M.tuberculosis_Isonazid; B = rifampicin_M.tuberculosis_Rifampicin; C = ethambutol_M.tuberculosis_Ethambutol; D = streptomycin_M.tuberculosis_Streptomycin; E = Any first line_M.tuberculosis_Any (isoniazid / rifampicin / ethambutol / streptomycin); F = MDR TB_M.tuberculosis_MDR (resistance to at least isoniazid and rifampicin); G = ofloxacin_M.tuberculosis_Ofloxacin; H = 4-aminosalicylic acid_M.tuberculosis_Para-aminosalicyclic acid; I = ethionamide_M.tuberculosis_Ethionamide; J = rifabutin_M.tuberculosis_Rifabutin
196,A = ESBL_K.pneumoniae_ESBL
198,A = clarithromycin_H.pylori_Clarithromycin
200,"A = penicillin_S.aureus_Penicillin; B = amoxicillin and beta-lactamase inhibitor_S.aureus_Amoxy/clav; C = piperacillin and beta-lactamase inhibitor_S.aureus_Pip/taz; D = ceftriaxone_S.aureus_Ceftriaxone; E = imipenem and cilastatin_S.aureus_Imipenem; F = meropenem_S.aureus_Meropenem; G = levofloxacin_S.aureus_Levofloxacin; H = minocycline_S.aureus_Minocycline; I = levofloxacin_S.aureus_Levofloxacin; J = minocycline_S.aureus_Minocycline; K = ampicillin_E.faecium_Ampicillin; L = levofloxacin_E.faecium_Levofloxacin; M = linezolid_E.faecium_Linezolid; N = minocycline_E.faecium_Minocycline; O = vancomycin_E.faecium_Vancomycin; P = ampicillin_Enterococcus_Ampicillin; Q = linezolid_Enterococcus_Linezolid; R = minocycline_Enterococcus_Minocycline; S = piperacillin and beta-lactamase inhibitor_Acinetobacter_Pip/taz; T = ceftazidime_Acinetobacter_Ceftazidime; U = ceftriaxone_Acinetobacter_Ceftriaxone; V = cefepime_Acinetobacter_Cefepime; W = imipenem and cilastatin_Acinetobacter_Imipenem; X = meropenem_Acinetobacter_Meropenem; Y = levofloxacin_Acinetobacter_Levofloxacin; Z = amikacin_Acinetobacter_Amikacin; AA = minocycline_Acinetobacter_Minocycline; AB = amoxicillin and beta-lactamase inhibitor_K.pneumoniae_Amoxy/clav; AC = piperacillin and beta-lactamase inhibitor_K.pneumoniae_Pip/taz; AD = ceftazidime_K.pneumoniae_Ceftazidime; AE = ceftriaxone_K.pneumoniae_Ceftriaxone; AF = cefepime_K.pneumoniae_Cefepime; AG = imipenem and cilastatin_K.pneumoniae_Imipenem; AH = meropenem_K.pneumoniae_Meropenem; AI = levofloxacin_K.pneumoniae_Levofloxacin; AJ = amikacin_K.pneumoniae_Amikacin; AK = minocycline_K.pneumoniae_Minocycline; AL = tigecycline_K.pneumoniae_Tigecycline; AM = amoxicillin and beta-lactamase inhibitor_K.pneumoniae_Amoxy/clav; AN = piperacillin and beta-lactamase inhibitor_K.pneumoniae_Pip/taz; AO = ceftazidime_K.pneumoniae_Ceftazidime; AP = ceftriaxone_K.pneumoniae_Ceftriaxone; AQ = cefepime_K.pneumoniae_Cefepime; AR = imipenem and cilastatin_K.pneumoniae_Imipenem; AS = meropenem_K.pneumoniae_Meropenem; AT = levofloxacin_K.pneumoniae_Levofloxacin; AU = amikacin_K.pneumoniae_Amikacin; AV = minocycline_K.pneumoniae_Minocycline; AW = tigecycline_K.pneumoniae_Tigecycline; AX = meticillin_S.aureus_MSSA vs MRSA; AY = vancomycin_Enterococcus_VSE vs VRE; AZ = MDR 3_Acinetobacter_Resistance to levofloxacin and amikacin, plus resistance to carbapenems and/or third generation cephalosporins; BA = ESBL_K.pneumoniae_K.pneumoniae vs ESBL K.pneumoniae; BB = piperacillin and beta-lactamase inhibitor_Acinetobacter_Pip/taz; BC = minocycline_Acinetobacter_Minocycline"
201,"A = ciprofloxacin_S.aureus_Ciprofloxacin; B = clindamycin_S.aureus_Clindamycin; C = erythromycin_S.aureus_Erythromycin; D = gentamicin_S.aureus_Gentamicin; E = oxacillin_S.aureus_Oxacillin; F = sulfamethoxazole and trimethoprim_S.aureus_Trimethroprim/sulfamethoxazole; G = MDR 3_S.aureus_MDR (defined as concurrent resistance to three or more of the following agents: ciprofloxacin, clindamycin, erythromycin, gentamicin, oxacillin and trimethoprim/sulfamethoxazole)"
202,"A = Any first line_M.tuberculosis_Any (Single resistance: isoniazid/rifampicin/ethambutol/streptomycin/Pyrazinamide, Polydrug resistance: isoniazid at least/rifampicin at least, MDR: INH-RIF at least/INH-RIF-EMB-SM at least/INH-RIF-EMB-SM-PZA)"
203,"A = ampicillin_E.coli_Female, Ampicillin; B = amoxicillin and beta-lactamase inhibitor_E.coli_Female, Amoxicillin-clavulanic acid; C = cefaclor_E.coli_Female, Cefaclor; D = cefprozil_E.coli_Female, Cefprozil; E = sulfamethoxazole and trimethoprim_E.coli_Female, Cotrimoxazole; F = amikacin_E.coli_Female, Amikacin; G = norfloxacin_E.coli_Female, Norfloxacin; H = ampicillin_E.coli_Male, Ampicillin; I = amoxicillin and beta-lactamase inhibitor_E.coli_Male, Amoxicillin-clavulanic acid; J = cefaclor_E.coli_Male, Cefaclor; K = cefprozil_E.coli_Male, Cefprozil; L = sulfamethoxazole and trimethoprim_E.coli_Male, Cotrimoxazole; M = amikacin_E.coli_Male, Amikacin; N = norfloxacin_E.coli_Male, Norfloxacin"
204,A = fluoroquinolone_H.influenzae_Fluoroquinolone (Levofloxacin or Ciprofloxacin)
205,A = ampicillin_E.coli_Ampicillin; B = ciprofloxacin_E.coli_Ciprofloxacin; C = sulfamethoxazole and trimethoprim_E.coli_Cotrimoxazole
206,A = ofloxacin_E.coli_Ofloxacin; B = amoxicillin and beta-lactamase inhibitor_E.coli_Amoxicillin clavulanic acid; C = cefuroxime_E.coli_Cefuroxime axetil; D = ciprofloxacin_E.coli_Ciprofloxacin; E = norfloxacin_E.coli_Norfloxacin; F = nitrofurantoin_E.coli_Nitrofurantoin; G = sulfamethoxazole and trimethoprim_E.coli_TMP/SMX
207,"A = ampicillin_Salmonella_Ampicillin; B = sulfamethoxazole and trimethoprim_Salmonella_Co-trimoxazole; C = chloramphenicol_Salmonella_Chloramphenicol; D = ciprofloxacin_Salmonella_Ciprofloxacin; E = nalidixic acid_Salmonella_Nalidixic acid; F = ampicillin + chloramphenicol + sulfamethoxazole and trimethoprim_Salmonella_MDR (ampicillin, chloramphenicol and co-trimoxazole)"
209,A = clindamycin_S.agalactiae_Clindamycin; B = erythromycin_S.agalactiae_Erythromycin
210,A = amoxicillin_E.coli_Amoxicillin; B = amoxicillin and beta-lactamase inhibitor_E.coli_Co-amoxiclav; C = trimethoprim_E.coli_Trimethroprim; D = sulfamethoxazole and trimethoprim_E.coli_Co-trimoxazole; E = norfloxacin_E.coli_Norfloxacin; F = ciprofloxacin_E.coli_Ciprofloxacin; G = nitrofurantoin_E.coli_Nitrofuantoin; H = amoxicillin_P.mirabilis_Amoxicillin; I = amoxicillin and beta-lactamase inhibitor_P.mirabilis_Co-amoxiclav; J = trimethoprim_P.mirabilis_Trimethroprim; K = sulfamethoxazole and trimethoprim_P.mirabilis_Co-trimoxazole; L = norfloxacin_P.mirabilis_Norfloxacin; M = ciprofloxacin_P.mirabilis_Ciprofloxacin; N = amoxicillin and beta-lactamase inhibitor_K.pneumoniae_Co-amoxiclav; O = trimethoprim_K.pneumoniae_Trimethroprim; P = sulfamethoxazole and trimethoprim_K.pneumoniae_Co-trimoxazole; Q = norfloxacin_K.pneumoniae_Norfloxacin; R = ciprofloxacin_K.pneumoniae_Ciprofloxacin; S = nitrofurantoin_K.pneumoniae_Nitrofuantoin
211,"A = nalidixic acid_E.coli_Nalidixic acid; B = fluoroquinolone_E.coli_Fluoroquinolones (norfloxacin, ciprofloxacin)"
213,A = meticillin_S.aureus_Methicillin
215,A = penicillin_S.pneumoniae_Penicillin; B = cefuroxime_S.pneumoniae_Cefuroxime; C = cefotaxime_S.pneumoniae_Cefotaxime; D = erythromycin_S.pneumoniae_Erythromycin; E = clindamycin_S.pneumoniae_Clindamycin; F = levofloxacin_S.pneumoniae_Levofloxacin; G = gatifloxacin_S.pneumoniae_Gatifloxacin; H = moxifloxacin_S.pneumoniae_Moxifloxacin; I = linezolid_S.pneumoniae_Linezolid; J = quinupristin/dalfopristin_S.pneumoniae_Quinupristin-dalfopristin
216,A = penicillin_S.pneumoniae_Penicillin; B = erythromycin_S.pneumoniae_Erythromycin; C = tetracycline_S.pneumoniae_Tetracycline; D = sulfamethoxazole and trimethoprim_S.pneumoniae_TMP/SMX; E = ofloxacin_S.pneumoniae_Ofloxacin; F = MDR 3_S.pneumoniae_MDR (resistance to 3 or more antibiotic classes)
217,A = metronidazole_H.pylori_Metronidazole; B = clarithromycin_H.pylori_Clarithromicin; C = azithromycin_H.pylori_Azithromycin; D = amoxicillin_H.pylori_Amoxicillin; E = ciprofloxacin_H.pylori_Ciprofloxacin; F = tetracycline_H.pylori_Tetracycline; G = clarithromycin + metronidazole_H.pylori_Metronidazole+Clarithromycin
218,A = ciprofloxacin_E.coli_Men; B = ciprofloxacin_E.coli_Women
219,A = oxacillin_S.aureus_S.aureus Oxacillin; B = oxacillin_CoNS_CoNS Oxacillin; C = vancomycin_Enterococcus_Enterococcus Vancomycin; D = penicillin_S.pneumoniae_S.pneumoniae Penicillin; E = levofloxacin_S.pneumoniae_S.pneumoniae Levofloxacin; F = ceftazidime_E.coli_E.coli Ceftazidime; G = cefepime_E.coli_E.coli Cefepime; H = ciprofloxacin_E.coli_E.coli Ciprofloxacin; I = ceftazidime_Klebsiella_Klebsiella Ceftazidime; J = cefepime_Klebsiella_Klebsiella Cefepime; K = ceftazidime_P.aeruginosa_P.aeruginosa Ceftazidime; L = cefepime_P.aeruginosa_P.aeruginosa Cefepime; M = imipenem and cilastatin_P.aeruginosa_P.aeruginosa Imipenem; N = ciprofloxacin_P.aeruginosa_P.aeruginosa Ciprofloxacin; O = ceftazidime_Enterobacter_Enterobacter Ceftazidime; P = cefepime_Enterobacter_Enterobacter Cefepime
220,"A = fluoroquinolone_S.pneumoniae_Fluoroquinolone (Ciprofloxacin, Levofloxacin, Tosufloxacin, Sparfloxacin, Gatifloxacin)"
221,A = penicillin_S.pneumoniae_Penicillin; B = erythromycin_S.pneumoniae_Erythromycin; C = erythromycin + penicillin_S.pneumoniae_Combined Penicillin + Erythromycin
222,A = ciprofloxacin_S.pneumoniae_Ciprofloxacin
223,A = Any first line_M.tuberculosis_Any major drug (isoniazid / rifampicin / streptomycin / ethambutol); B = isoniazid_M.tuberculosis_Isoniazid; C = streptomycin_M.tuberculosis_Streptomycin
224,A = B-lactamase_H.influenzae_B-lactamase production
225,A = ampicillin_E.coli_Ampicillin; B = nitrofurantoin_E.coli_Nitrofurantoin; C = ciprofloxacin_E.coli_Ciprofloxacin; D = levofloxacin_E.coli_Levofloxacin; E = sulfamethoxazole and trimethoprim_E.coli_TMP-SMZ
226,A = penicillin_S.pneumoniae_Penicillin; B = ceftriaxone_S.pneumoniae_Ceftriaxone; C = erythromycin_S.pneumoniae_Erythromycin; D = tetracycline_S.pneumoniae_Tetracycline; E = sulfamethoxazole and trimethoprim_S.pneumoniae_TMP-SMX; F = chloramphenicol_S.pneumoniae_Chloramphenicol
227,A = amoxicillin and beta-lactamase inhibitor_E.coli_Amoxicillin-clavulanate; B = fluoroquinolone_E.coli_Fluoroquinolones; C = sulfamethoxazole and trimethoprim_E.coli_TMP-SMX
228,A = penicillin_S.pneumoniae_Penicillin
229,A = clarithromycin_H.pylori_Clarithromycin; B = metronidazole_H.pylori_Metronidazole
230,A = ciprofloxacin_S.pneumoniae_Ciprofloxacin; B = erythromycin_S.pneumoniae_Erythromycin
231,"A = Any first line_M.tuberculosis_Swiss born, Any (isoniazid / rifampicin / ethambutol / pyrazinamide); B = MDR TB_M.tuberculosis_Swiss born, MDR (resistance to at least isoniazid and rifampicin); C = Any first line_M.tuberculosis_Foreign born, Any (isoniazid / rifampicin / ethambutol / pyrazinamide); D = MDR TB_M.tuberculosis_Foreign born, MDR (resistance to at least isoniazid and rifampicin)"
232,A = penicillin_S.pneumoniae_Penicillin
233,A = penicillin_S.pneumoniae_Penicillin
234,A = ciprofloxacin_S.pneumoniae_Ciprofloxacin
235,"A = MDR 2_S.pneumoniae_MDR (two or more antimicrobial drugs), Pneumococci"
236,"A = penicillin_S.pneumoniae_Penicillin; B = MDR 3_S.pneumoniae_MDR (resistant to three or more antibiotics, including penicillin)"
237,"A = Any first line_M.tuberculosis_Any (isoniazid, rifampin, streptomycin, ethambutol, kanamycin)"
238,A = penicillin_S.pneumoniae_Penicillin
239,A = erythromycin_S.pneumoniae_Erythromycin
240,A = penicillin_S.pneumoniae_Penicillin
241,"A = Any_M.tuberculosis_Any (isoniazid, rifampicin, streptomycin, sthambutol, pyrazinamide, aminosalycylic acid, kanamycin,tuberactinomycin, prothionamide, cycloserine)"
242,A = B-lactamase_H.influenzae_B-lactamase production (ampicillin and amoxicillin)
243,A = tetracycline_N.gonorrhoeae_Male High level teracycline; B = penicillin_N.gonorrhoeae_Male Chromosomally mediated penicillin; C = tetracycline_N.gonorrhoeae_Female High level teracycline; D = penicillin_N.gonorrhoeae_Female Chromosomally mediated penicillin
244,A = penicillin_S.pneumoniae_Penicillin
245,A = tetracycline_E.coli_Tetracycline; B = ampicillin_E.coli_Ampicillin; C = sulfamethoxazole_E.coli_Sulphamethoxazole; D = Any_E.coli_One or more of Tetracycline / Ampicillin / Sulphamethoxazole
246,A = tetracycline_S.pneumoniae_Pneumococci; B = tetracycline_S.pyogenes_Group A streptococci
247,A = cefoxitin_S.aureus_Cefoxitin; B = levofloxacin_S.aureus_Levofloxacin; C = erythromycin_S.aureus_Erythromycin; D = clindamycin_S.aureus_Clindamycin; E = doxycycline_S.aureus_Doxycycline; F = sulfamethoxazole and trimethoprim_S.aureus_Trimethroprim/sulfamethoxazole
248,"A = MDR 3_Multiple_MDR (The multidrug resistance phenotype was defined using the consensus definitions proposed by Magiorakos et al), Gram-negative bacteria (E.coli (50), K.pneumoniae (50), S.marcescens (15), E.cloacae (13), P.aeruginosa (12), A.baumannii (6), Other (24))"
249,A = ESBL_E.coli_ESBL
250,A = rifaximin_H.pylori_Rifaximin; B = garenoxacin_H.pylori_Garenoxacin; C = garenoxacin + rifamixin_H.pylori_Rifamixin + Garenoxacin
251,A = meticillin_S.aureus_Methicillin
315,A = carbapenem_P.aeruginosa_Meropenem / Imipenem; B = ESBL_P.aeruginosa_Extensive B-lactam resistant (Meropenem / Imipenem + ceftazidime + combined piperacillin sodium and tazobactam sodium)
252,A = metronidazole_H.pylori_Metronidazole; B = tetracycline_H.pylori_Tetracycline; C = clarithromycin_H.pylori_Clarithromycin; D = amoxicillin_H.pylori_Amoxicillin; E = furazolidone_H.pylori_Furazolidone; F = ofloxacin_H.pylori_Ofloxacin; G = ciprofloxacin_H.pylori_Ciprofloxacin; H = levofloxacin_H.pylori_Levofloxacin
254,"A = Any_Streptococcus_One or more of Amoxicillin clavulanic acid / Clindamycin / Moxifloxacin, Oral streptococci; B = clindamycin + moxifloxacin + amoxicillin and beta-lactamase inhibitor_Streptococcus_MDR (Amoxicillin clavulanic acid + Clindamycin + Moxifloxacin), Oral streptococci; C = MDR 2_Streptococcus_Two or more of Amoxicillin clavulanic acid / Clindamycin / Moxifloxacin, Oral streptococci"
255,A = penicillin_S.pneumoniae_Penicillin (All invasive isolates); B = cefotaxime + penicillin _S.pneumoniae_Penicillin + Cefotaxime (Meningitis only)
256,A = azithromycin_Shigella_Azihromycin; B = ciprofloxacin_Shigella_Ciprofloxacin
257,A = MDR TB_M.tuberculosis_MDR (no definition)
258,A = clindamycin_P.acnes_Clindamycin; B = erythromycin_P.acnes_Erythromycin
259,"A = amoxicillin_Multiple_Amoxicillin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); B = ampicillin_Multiple_Ampicillin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); C = amoxicillin and beta-lactamase inhibitor_Multiple_Amoxicillin-clavulanic acid, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); D = piperacillin and beta-lactamase inhibitor_Multiple_Piperacillin-tazobactam, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); E = ceftriaxone_Multiple_Ceftriaxone, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); F = cefalexin_Multiple_Cephalexin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); G = cefuroxime_Multiple_Cefuroxime, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); H = cefepime_Multiple_Cefepime, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); I = amikacin_Multiple_Amikacin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); J = gentamicin_Multiple_Gentamicin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); K = ciprofloxacin_Multiple_Ciprofloxacin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); L = ofloxacin_Multiple_Ofloxacin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); M = norfloxacin_Multiple_Norfloxacin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); N = levofloxacin_Multiple_Levofloxacin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); O = sulfamethoxazole and trimethoprim_Multiple_TMP-SMX, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); P = meropenem_Multiple_Meropenem, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); Q = imipenem and cilastatin_Multiple_Imipenem, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); R = nitrofurantoin_Multiple_Nitrofurantoin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); S = vancomycin_Multiple_Vancomycin, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); T = chloramphenicol_Multiple_Chloramphenicol, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); U = MDR 3_Multiple_MDR (resistant to 1 or more drug from 3 or more groups of antimicrobial agents), Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus); V = tigecycline_Multiple_Tigecycline, Multiple (E.coli, E.faecalis, Klebsiella, P.mirabilis, P.aeruginosa, CoNS, P.retgerri, S.aureus)"
